enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos
\frac{{{x^2} - 1}}{{x + 3}} \ y  \ \frac{{{x^3} + 2{x^2} - x - 2}}{{{x^2} + 5x + 6}},(-x + x**3 + 2*x**2 - 2)/(x**2 + 5*x + 6) - (x**2 - 1)/(x + 3),0,Comprueba si son equivalentes las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e01y3,1,2,1
\frac{{{x^2} - 4}}{{{x^2} - 2x}}  \ y  \ \frac{{x + 2}}{x},-(x**2 - 4)/(x**2 - 2*x) + (x + 2)/x,0,Comprueba si son equivalentes las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e01y3,1,2,1
\frac{{2{x^3} - 5{x^2} - 23x - 10}}{{{x^3} + 3{x^2} - 4x - 12}},(-23*x + 2*x**3 - 5*x**2 - 10)/(-4*x + x**3 + 3*x**2 - 12),\frac{2 x^{2} - 9 x - 5}{x^{2} + x - 6},Obtén la fracción irreducible (simplifica) equivalente a las fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e04,1,2,1
\frac{{{x^3} -16x}}{{{x^3} + 3{x^2} - 4x}},(x**3 - 16*x)/(-4*x + x**3 + 3*x**2),\frac{x - 4}{x - 1},Obtén la fracción irreducible (simplifica) equivalente a las fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e04,1,2,1
\frac{{{x^2} + 3x - 4}}{{{x^3} - x}},(x**2 + 3*x - 4)/(x**3 - x),\frac{x + 4}{x^{2} + x},Obtén la fracción irreducible (simplifica) equivalente a las fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e04,1,2,1
\frac{{{x^3} - 1}}{{{x^2} - x}},(x**3 - 1)/(x**2 - x),\frac{x^{2} + x + 1}{x},Obtén la fracción irreducible (simplifica) equivalente a las fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e04,1,2,1
\frac{{{x^2} - 9}}{{x + 3}},(x**2 - 9)/(x + 3),x - 3,Simplifica las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{{x^2} - 1}}{{{x^3} - x}},(x**2 - 1)/(x**3 - x),\frac{1}{x},Simplifica las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{{x^4} - 4{x^2} + 4}}{{{x^4} - 4}},(x**4 - 4*x**2 + 4)/(x**4 - 4),\frac{x^{2} - 2}{x^{2} + 2},Simplifica las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{3{x^2} + x}}{{3{x^3} + {x^2} - 12x - 4}},(3*x**2 + x)/(-12*x + 3*x**3 + x**2 - 4),\frac{3 x}{3 x^{2} - 12},Simplifica las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{2{x^3} + 3{x^2} - 8x + 3}}{{2{x^3} - {x^2} - 2x - 1}},(-8*x + 2*x**3 + 3*x**2 + 3)/(-2*x + 2*x**3 - x**2 - 1),\frac{2 x^{3} + 3 x^{2} - 8 x + 3}{2 x^{3} - x^{2} - 2 x - 1},Simplifica las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
\frac{{{x^3} - 5{x^2} + 6x}}{{{x^3} - 4x}},(6*x + x**3 - 5*x**2)/(x**3 - 4*x),\frac{x - 3}{x + 2},Simplifica las siguientes fracciones algebraicas:,1BC,5 - Fracciones Algebraicas,p014e05,1,2,1
