enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio,dificultad,n_columnas,puntos,enun_tex,sol_tex
"\overrightarrow{u}=(4, 12) \, \ \overrightarrow{v}=(2, 6)","Point(4, 12).is_collinear(Point(2, 6), Point(0,0))",False,Justifica si los siguientes pares de vectores forman base de $\mathbb{R}^2$:,1BC,Final 2ª Ev.,ex12e01,1,2,1,True,True
"\overrightarrow{u}=(1, 2) \, \ \overrightarrow{v}=(3, 4)","Point(1, 2).is_collinear(Point(3, 4), Point(0,0))",True,Justifica si los siguientes pares de vectores forman base de $\mathbb{R}^2$:,1BC,Final 2ª Ev.,ex12e01,1,2,1,True,True
r\equiv2x-y-2=0\  y \ s\equiv3x+2y-4=0,"['2x-y-2=0', '3x+2y-4=0']",119.74488129694222,Determinar el ángulo formado por las rectas:,1BC,Final 2ª Ev.,ex12e02,1,2,1,True,True
" A(2, -3)\  , \ B=(5, 2) \ y \  C \in r\equiv -x+3y-16=0","[(2, -3), (5, 2), '-x+3y-16=0']","\left [ \left \{ x : -4, \quad y : 4\right \}\right ]","Calcula el vértice C de un triángulo isósceles ABC, sabiendo que:",1BC,Final 2ª Ev.,ex12e03,1,1,1,True,True
"A=(2, 1), \ B=(4, 3),\  y \ C=(6, -1)","[(2, 1), (4, 3), (6, -1)]","\left [ y - 1 = 0, \quad - 2 x - 2 y + 10 = 0, \quad \left [ 3 \sqrt{2}, \quad 6\right ]\right ]","Dado el triángulo ABC, hallar: \\ 
\begin{itemize} \item la mediana correspondiente al vértice A \item la mediatriz correspondiente al lado AB \item y el área \end{itemize} Siendo:",1BC,Final 2ª Ev.,ex12e04,5,1,1,True,True
2\cos^2{x}-\sqrt{3}\cos{x}=0,"Eq(2*cos(x)**2 - sqrt(3)*cos(x), 0)","\left [ 30, \quad 90, \quad 270, \quad 330\right ]",Resolver las siguientes ecuaciones:,1BC,Final 2ª Ev.,ex12e05,1,1,1,True,True
\cos{2x}-3\cos{x}+1=0,"Eq(-3*cos(x) + cos(2*x) + 1, 0)","\left [ -90, \quad 90\right ]",Resolver las siguientes ecuaciones:,1BC,Final 2ª Ev.,ex12e05,1,1,1,True,True
\frac{(1+2i)i^7}{(3-2i)-(2+i)},(i**7*(2*i + 1))/(-2*i + 3 - i - 2),\frac{1}{2} + \frac{i}{2},Calcula:,1BC,Final 2ª Ev.,ex12e06,2,2,1,True,True
2 - 2\sqrt {3}i,-2*sqrt(3)*i + 2,4_{- \frac{\pi}{3}},Escribe los siguientes números complejos en forma polar con el argumento en radianes:,1BC,Final 2ª Ev.,ex12e07,1,2,1,True,True
2i,2*i,2_{\frac{\pi}{2}},Escribe los siguientes números complejos en forma polar con el argumento en radianes:,1BC,Final 2ª Ev.,ex12e07,1,2,1,True,True
-4,-4,4_{\pi},Escribe los siguientes números complejos en forma polar con el argumento en radianes:,1BC,Final 2ª Ev.,ex12e07,1,2,1,True,True
