enunciado_latex,enunciado,solucion,texto,curso,titulo,n_ejercicio
\frac{{7!}}{{6!}},factorial(7)/factorial(6),7,Simplifica los cocientes entre factoriales:,1BC,3 - Números combinatorios. Binomio de Newton,p9e2
\frac{{8!}}{{9!}},factorial(8)/factorial(9),\frac{1}{9},Simplifica los cocientes entre factoriales:,1BC,3 - Números combinatorios. Binomio de Newton,p9e2
\frac{{9!}}{{5!\cdot 4!}},factorial(9)/((factorial(4)*factorial(5))),126,Simplifica los cocientes entre factoriales:,1BC,3 - Números combinatorios. Binomio de Newton,p9e2
\frac{{m!}}{{(m - 1)!}},factorial(m)/factorial(m - 1),m,Simplifica los cocientes entre factoriales:,1BC,3 - Números combinatorios. Binomio de Newton,p9e2
\frac{{( {m + 1} )!}}{{( {m - 1} )!}},factorial(m + 1)/factorial(m - 1),m \left(m + 1\right),Simplifica los cocientes entre factoriales:,1BC,3 - Números combinatorios. Binomio de Newton,p9e2
\binom{252}{250},"binomial(252,250)",31626,Calcula las siguientes operaciones:,1BC,3 - Números combinatorios. Binomio de Newton,p9e3
\binom{25}{3} + \binom{25}{4},"binomial(25,3) + binomial(25,4)",14950,Calcula las siguientes operaciones:,1BC,3 - Números combinatorios. Binomio de Newton,p9e3
\binom{9}{6} + \binom{9}{7} + \binom{10}{2},"binomial(9,6) + binomial(9,7) + binomial(10,2)",165,Calcula las siguientes operaciones:,1BC,3 - Números combinatorios. Binomio de Newton,p9e3
\binom{4}{2} + \binom{4}{3} + \binom{5}{4}+ \binom{6}{5} + \binom{7}{6} + \binom{8}{7},"binomial(4,2) + binomial(4,3) + binomial(5,4)+ binomial(6,5) + binomial(7,6) + binomial(8,7)",36,Calcula las siguientes operaciones:,1BC,3 - Números combinatorios. Binomio de Newton,p9e3
\binom{4}{0} + \binom{4}{1} + \binom{4}{2}+\binom{4}{3},"binomial(4,0) + binomial(4,1) + binomial(4,2)+binomial(4,3)",15,Calcula las siguientes operaciones:,1BC,3 - Números combinatorios. Binomio de Newton,p9e3
\frac{{6!}}{{5!}} + \frac{{8!}}{{6!}},factorial(6)/factorial(5) + factorial(8)/factorial(6),62,Simplifica:,1BC,3 - Números combinatorios. Binomio de Newton,p9e5
\frac{{n!}}{{(n - 1)!}} + \frac{{(n + 2)!}}{{n!}},factorial(n)/factorial(n - 1) + factorial(n + 2)/factorial(n),n^{2} + 4 n + 2,Simplifica:,1BC,3 - Números combinatorios. Binomio de Newton,p9e5
\frac{\binom{n+3}{n}+\binom{n+2}{n}}{\frac{n+6}{6}},"(binomial(n+3,n)+binomial(n+2,n))/(n+6/n)",\frac{n \left(n + 1\right) \left(n + 2\right) \left(n + 6\right)}{6 \left(n^{2} + 6\right)},Simplifica:,1BC,3 - Números combinatorios. Binomio de Newton,p9e5
(2 + x)^4,(x + 2)**4,x^{4} + 8 x^{3} + 24 x^{2} + 32 x + 16,Realiza los desarrollos de los siguientes binomios:,1BC,3 - Números combinatorios. Binomio de Newton,p9e6
( {1 + 2\sqrt{ 2} })^3,(1 + 2*sqrt(2))**3,25 + 22 \sqrt{2},Realiza los desarrollos de los siguientes binomios:,1BC,3 - Números combinatorios. Binomio de Newton,p9e6
( {2 - 3\sqrt{ 2} })^3,(-3*sqrt(2) + 2)**3,- 90 \sqrt{2} + 116,Realiza los desarrollos de los siguientes binomios:,1BC,3 - Números combinatorios. Binomio de Newton,p9e6
( {\frac{x}{2} + \frac{2}{{{x^2}}}} )^5,(x/2 + 2/x**2)**5,\frac{x^{5}}{32} + \frac{5 x^{2}}{8} + \frac{5}{x} + \frac{20}{x^{4}} + \frac{40}{x^{7}} + \frac{32}{x^{10}},Realiza los desarrollos de los siguientes binomios:,1BC,3 - Números combinatorios. Binomio de Newton,p9e6
( {\frac{2}{\sqrt {2} } + \sqrt {2} } )^4,(2/sqrt(2) + sqrt(2))**4,16 \frac{\sqrt{2}}{2} \sqrt{2} + 48,Realiza los desarrollos de los siguientes binomios:,1BC,3 - Números combinatorios. Binomio de Newton,p9e6
( {5\sqrt {2} - 2\sqrt {3} } )^4,(-2*sqrt(3) + 5*sqrt(2))**4,- 2480 \sqrt{6} + 6244,Realiza los desarrollos de los siguientes binomios:,1BC,3 - Números combinatorios. Binomio de Newton,p9e6
( {2{x^2} - \frac{3}{x}} )^6,(2*x**2 - 3/x)**6,64 x^{12} - 576 x^{9} + 2160 x^{6} - 4320 x^{3} + 4860 - \frac{2916}{x^{3}} + \frac{729}{x^{6}},Realiza los desarrollos de los siguientes binomios:,1BC,3 - Números combinatorios. Binomio de Newton,p9e6
(2 + x)^8,(x + 2)**8,x^{8} + 16 x^{7} + 112 x^{6} + 448 x^{5} + 1120 x^{4} + 1792 x^{3} + 1792 x^{2} + 1024 x + 256,Realiza los desarrollos de los siguientes binomios para identificar determinados términos y coeficientes:,1BC,3 - Números combinatorios. Binomio de Newton,p9e7-13
( {\frac{2}{5} + \frac{3}{x}} )^8,(2/5 + 3/x)**8,\frac{256}{390625} + \frac{3072}{78125 x} + \frac{16128}{15625 x^{2}} + \frac{48384}{3125 x^{3}} + \frac{18144}{125 x^{4}} + \frac{108864}{125 x^{5}} + \frac{81648}{25 x^{6}} + \frac{34992}{5 x^{7}} + \frac{6561}{x^{8}},Realiza los desarrollos de los siguientes binomios para identificar determinados términos y coeficientes:,1BC,3 - Números combinatorios. Binomio de Newton,p9e7-13
(2a^2b - 3 a^3)^7,(-3*a**3 + 2*(a**2*b))**7,- 2187 a^{21} + 10206 a^{20} b - 20412 a^{19} b^{2} + 22680 a^{18} b^{3} - 15120 a^{17} b^{4} + 6048 a^{16} b^{5} - 1344 a^{15} b^{6} + 128 a^{14} b^{7},Realiza los desarrollos de los siguientes binomios para identificar determinados términos y coeficientes:,1BC,3 - Números combinatorios. Binomio de Newton,p9e7-13
( {3x - \frac{1}{x}})^7,(3*x - 1/x)**7,2187 x^{7} - 5103 x^{5} + 5103 x^{3} - 2835 x + \frac{945}{x} - \frac{189}{x^{3}} + \frac{21}{x^{5}} - \frac{1}{x^{7}},Realiza los desarrollos de los siguientes binomios para identificar determinados términos y coeficientes:,1BC,3 - Números combinatorios. Binomio de Newton,p9e7-13
( {{x^2} + \frac{1}{x}})^{12},(x**2 + 1/x)**12,x^{24} + 12 x^{21} + 66 x^{18} + 220 x^{15} + 495 x^{12} + 792 x^{9} + 924 x^{6} + 792 x^{3} + 495 + \frac{220}{x^{3}} + \frac{66}{x^{6}} + \frac{12}{x^{9}} + \frac{1}{x^{12}},Realiza los desarrollos de los siguientes binomios para identificar determinados términos y coeficientes:,1BC,3 - Números combinatorios. Binomio de Newton,p9e7-13
( {2x - \frac{1}{x}})^{18},(2*x - 1/x)**18,262144 x^{18} - 2359296 x^{16} + 10027008 x^{14} - 26738688 x^{12} + 50135040 x^{10} - 70189056 x^{8} + 76038144 x^{6} - 65175552 x^{4} + 44808192 x^{2} - 24893440 + \frac{11202048}{x^{2}} - \frac{4073472}{x^{4}} + \frac{1188096}{x^{6}} - \frac{274176}{x^{8}} + \frac{48960}{x^{10}} - \frac{6528}{x^{12}} + \frac{612}{x^{14}} - \frac{36}{x^{16}} + \frac{1}{x^{18}},Realiza los desarrollos de los siguientes binomios para identificar determinados términos y coeficientes:,1BC,3 - Números combinatorios. Binomio de Newton,p9e7-13
( {{x^2} + \frac{1}{x}} )^8,(x**2 + 1/x)**8,x^{16} + 8 x^{13} + 28 x^{10} + 56 x^{7} + 70 x^{4} + 56 x + \frac{28}{x^{2}} + \frac{8}{x^{5}} + \frac{1}{x^{8}},Realiza los desarrollos de los siguientes binomios para identificar determinados términos y coeficientes:,1BC,3 - Números combinatorios. Binomio de Newton,p9e7-13
( {\frac{2}{{\sqrt {x} }} + 1})^{10},(1 + 2/sqrt(x))**10,1 + \frac{180}{x} + \frac{3360}{x^{2}} + \frac{13440}{x^{3}} + \frac{11520}{x^{4}} + \frac{1024}{x^{5}} + \frac{20}{\sqrt{x}} + \frac{960}{x^{\frac{3}{2}}} + \frac{8064}{x^{\frac{5}{2}}} + \frac{15360}{x^{\frac{7}{2}}} + \frac{5120}{x^{\frac{9}{2}}},Realiza los desarrollos de los siguientes binomios para identificar determinados términos y coeficientes:,1BC,3 - Números combinatorios. Binomio de Newton,p9e7-13
( {\frac{{{x^2}}}{2} - \frac{3}{x}} )^6,(x**2/2 - 3/x)**6,\frac{x^{12}}{64} - \frac{9 x^{9}}{16} + \frac{135 x^{6}}{16} - \frac{135 x^{3}}{2} + \frac{1215}{4} - \frac{729}{x^{3}} + \frac{729}{x^{6}},Realiza los desarrollos de los siguientes binomios para identificar determinados términos y coeficientes:,1BC,3 - Números combinatorios. Binomio de Newton,p9e7-13
( {\frac{{{x^2}}}{2} - \frac{3}{x}} )^8,(x**2/2 - 3/x)**8,\frac{x^{16}}{256} - \frac{3 x^{13}}{16} + \frac{63 x^{10}}{16} - \frac{189 x^{7}}{4} + \frac{2835 x^{4}}{8} - 1701 x + \frac{5103}{x^{2}} - \frac{8748}{x^{5}} + \frac{6561}{x^{8}},Realiza los desarrollos de los siguientes binomios para identificar determinados términos y coeficientes:,1BC,3 - Números combinatorios. Binomio de Newton,p9e7-13
